사업장명,인허가일자,영업상태명,폐업일자,위생업태명,소재지지번주소,소재지도로명주소
디그니티티라미수,2016-05-30,폐업,2016-10-14,커피숍,서울특별시 관악구 신림동 241-118 ,"서울특별시 관악구 대학길 31, 가동 1층 (신림동)"
위플래이스,2016-06-14,폐업,2019-02-15,커피숍,서울특별시 관악구 신림동 1533-18 ,"서울특별시 관악구 호암로24길 22, 지하1층 (신림동)"
엔제리너스 대학점,2016-08-17,영업,,커피숍,서울특별시 관악구 신림동 1520-1 ,"서울특별시 관악구 호암로26길 40, 지하1~2층 (신림동)"
원츄(onechew),2016-08-25,폐업,2019-05-02,커피숍,서울특별시 관악구 신림동 1523-1 ,"서울특별시 관악구 신림로23길 16, 1층 1006,1007호 (신림동, 일성투루엘)"
컴포즈커피 신림대학점,2016-10-04,영업,,커피숍,서울특별시 관악구 신림동 1534 ,"서울특별시 관악구 호암로24길 32, 1층 (신림동)"
방콕카페,2016-12-05,폐업,2020-12-15,커피숍,서울특별시 관악구 신림동 1516-2 ,"서울특별시 관악구 신림로 107, 2층 (신림동)"
커피앤티(COFFEE&TEA),2017-04-21,영업,,커피숍,서울특별시 관악구 신림동 산 56-1 ,"서울특별시 관악구 관악로 1, 16-1동 2층 (신림동, 신양학술정보관3)"
제이플랜,2017-04-28,폐업,2020-12-02,커피숍,서울특별시 관악구 신림동 1546 ,"서울특별시 관악구 신림로21길 39, 1층 (신림동)"
퍼플피씨(퍼플PC),2017-05-18,영업,,커피숍,서울특별시 관악구 신림동 1533-5 ,"서울특별시 관악구 호암로24길 24, 지하1층 (신림동)"
예리담,2017-05-22,폐업,2017-08-16,커피숍,서울특별시 관악구 신림동 1542-14 ,"서울특별시 관악구 신림로17길 59, 1층 (신림동)"
제이콥스테이블,2017-06-07,영업,,커피숍,서울특별시 관악구 신림동 1525-5 ,"서울특별시 관악구 호암로26가길 8, 1층 (신림동)"
히포커피 서울대점,2017-06-26,영업,,커피숍,서울특별시 관악구 신림동 1537-1 ,"서울특별시 관악구 호암로24길 66, 1층 (신림동)"
메가엠지씨커피 대학점,2017-08-11,영업,,커피숍,서울특별시 관악구 신림동 1525-1 ,"서울특별시 관악구 호암로26가길 2, 1층 (신림동)"
바나나유,2017-08-22,폐업,2019-11-04,커피숍,서울특별시 관악구 신림동 1524-4 ,"서울특별시 관악구 신림로23길 22, 1층 (신림동)"
커피당,2017-11-01,영업,,커피숍,서울특별시 관악구 신림동 237-27 ,"서울특별시 관악구 신림로 73, 1층 103호 (신림동)"
투썸플레이스 신림녹두거리점,2017-11-28,영업,,커피숍,서울특별시 관악구 신림동 1515 ,"서울특별시 관악구 신림로 127, 1층 103, 104호 (신림동)"
이디야,2018-01-16,영업,,커피숍,서울특별시 관악구 신림동 241-22 ,"서울특별시 관악구 신림로 91, 1층 10호 (신림동)"
디노마드진(THE NOMAD GENE),2018-02-01,영업,,커피숍,서울특별시 관악구 봉천동 산 4-1 서울대학교 ,"서울특별시 관악구 관악로 1, 서울대학교 연구공원지원시설동 지하1층 (신림동)"
분나(BN),2018-03-29,폐업,2019-05-14,커피숍,서울특별시 관악구 신림동 산 56-1 서울대학교 ,"서울특별시 관악구 관악로 1, 서울대학교 화학공정신기술연구소 311동 4층 404-2호 (신림동)"
이안커피(Ian Coffee),2018-04-06,폐업,2020-10-19,커피숍,서울특별시 관악구 신림동 259-2 ,"서울특별시 관악구 신림로17길 63, 1층 (신림동)"
밀크팅,2018-05-14,영업,,커피숍,서울특별시 관악구 신림동 1519-18 ,"서울특별시 관악구 호암로24길 57, 1층 (신림동)"
GACHI(가치),2018-06-26,폐업,2020-04-28,커피숍,서울특별시 관악구 신림동 1518-18 ,"서울특별시 관악구 호암로24길 65, 1층 (신림동)"
카페246(cafe246),2018-07-12,폐업,2020-10-06,커피숍,서울특별시 관악구 신림동 246-51 ,"서울특별시 관악구 대학7길 7, 1층 (신림동)"
더벤티,2018-07-13,영업,,커피숍,서울특별시 관악구 신림동 246-23 ,"서울특별시 관악구 대학길 35, 1층 (신림동)"
카페보타닉,2018-07-20,영업,,커피숍,서울특별시 관악구 신림동 1537-9 ,"서울특별시 관악구 대학6길 13, 1층 (신림동)"
구동의아침,2018-08-27,폐업,2019-10-11,커피숍,서울특별시 관악구 신림동 1525-6 이오빌딩 ,"서울특별시 관악구 호암로26가길 12, 이오빌딩 1층 (신림동)"
가름커피(GALM COFFEE),2018-10-19,영업,,커피숍,서울특별시 관악구 신림동 1523-1 일성트루엘 ,"서울특별시 관악구 신림로23길 16, 일성트루엘 2층 2110호 (신림동)"
제네럴테이블,2018-10-24,영업,,커피숍,서울특별시 관악구 신림동 241-57 ,"서울특별시 관악구 신림로11길 11-5, 지하1층 (신림동)"
카페딜,2018-11-22,폐업,2019-04-22,커피숍,서울특별시 관악구 신림동 241-76 ,"서울특별시 관악구 대학5길 21, 2층 (신림동)"
카페드림 서울대유회진기념관점,2018-12-03,영업,,커피숍,서울특별시 관악구 신림동 산 56-1 서울대학교 ,"서울특별시 관악구 관악로 1, 서울대학교 유회진기념관 300동 1층 101, 102호 (신림동)"
커피에반하다,2018-12-21,영업,,커피숍,서울특별시 관악구 신림동 1535-9 ,"서울특별시 관악구 신림로19길 30, 지하1~지상1층 (신림동)"
파스쿠찌 서울대관정도서관점,2019-02-15,영업,,커피숍,서울특별시 관악구 신림동 산 56-1 서울대학교 ,"서울특별시 관악구 관악로 1, 서울대학교 관정도서관 2,3층 (신림동)"
이디야커피(신림대학동점),2019-02-28,영업,,커피숍,서울특별시 관악구 신림동 1514-5 ,"서울특별시 관악구 호암로26길 17, 1층 (신림동)"
승승,2019-05-08,영업,,커피숍,서울특별시 관악구 신림동 241-118 ,"서울특별시 관악구 대학길 31, 가동 1층 (신림동)"
블루포트 서울대점,2019-08-29,영업,,커피숍,서울특별시 관악구 신림동 산 56-1 서울대학교 ,"서울특별시 관악구 관악로 1, 외국인학생기숙사 916동 지하1층 B118호 (신림동)"
퍼스널커피,2019-09-16,폐업,2020-05-18,커피숍,서울특별시 관악구 신림동 257-22 ,"서울특별시 관악구 신림로17길 62, 1층 (신림동)"
슬지로운생활,2020-03-12,영업,,커피숍,서울특별시 관악구 신림동 1515-11 ,"서울특별시 관악구 호암로26길 25, 1층 (신림동)"
카페레브(CAFE REVE),2020-03-16,영업,,커피숍,서울특별시 관악구 신림동 1536-14 ,"서울특별시 관악구 호암로22길 55, 1층 (신림동)"
카페앤밀 치포리,2020-04-24,영업,,커피숍,서울특별시 관악구 신림동 1524-8 아츠스테이 신림 ,"서울특별시 관악구 호암로24길 17, 아츠스테이 신림 (신림동)"
루이코코 디저트카페,2020-05-14,영업,,커피숍,서울특별시 관악구 신림동 257-22 ,"서울특별시 관악구 신림로17길 62, 1층 (신림동)"
녹다컴퍼니,2020-06-04,영업,,커피숍,서울특별시 관악구 신림동 251-173 ,"서울특별시 관악구 대학길 91, 1층 (신림동)"
컵오브커피 대학동점,2020-06-08,영업,,커피숍,서울특별시 관악구 신림동 1520 ,"서울특별시 관악구 호암로26길 36, 1층 (신림동)"
카페코지,2020-06-26,영업,,커피숍,서울특별시 관악구 신림동 1519-22 ,"서울특별시 관악구 신림로17길 20, 1층 (신림동)"
마마떼,2020-07-06,영업,,커피숍,서울특별시 관악구 신림동 1535-19 ,"서울특별시 관악구 대학6길 36, 1층 (신림동)"
마마떼2,2020-07-06,영업,,커피숍,서울특별시 관악구 신림동 1535-19 ,"서울특별시 관악구 대학6길 36, 지하1층 (신림동)"
카페여기 2호점,2020-07-21,폐업,2020-09-25,커피숍,서울특별시 관악구 신림동 1544 태양빌딩 ,"서울특별시 관악구 호암로22길 60, 태양빌딩 1층 (신림동)"
오스커피하우스,2020-07-28,영업,,커피숍,서울특별시 관악구 신림동 1523-1 일성트루엘 ,"서울특별시 관악구 신림로23길 16, 일성트루엘 1층 1025호 (신림동)"
COFFEE THE R(커피 더 알),2020-08-05,영업,,커피숍,서울특별시 관악구 신림동 1531-1 ,"서울특별시 관악구 호암로24길 6, 지층 (신림동)"
카페씨엘,2020-09-14,영업,,커피숍,서울특별시 관악구 신림동 1525-10 동일빌딩 ,"서울특별시 관악구 호암로26가길 18, 동일빌딩 1층 (신림동)"
카페일기,2020-09-25,영업,,커피숍,서울특별시 관악구 신림동 1544 태양빌딩 ,"서울특별시 관악구 호암로22길 60, 태양빌딩 1층 (신림동)"
커피박스 신림대학동점,2020-11-25,영업,,커피숍,서울특별시 관악구 신림동 1518-17 ,"서울특별시 관악구 호암로24길 67, 1층 (신림동)"
OJE COFFEE(오제커피),2020-12-07,영업,,커피숍,서울특별시 관악구 신림동 1546 ,"서울특별시 관악구 신림로21길 39, 1층 (신림동)"
더치프레소,2021-03-10,영업,,커피숍,서울특별시 관악구 신림동 산 56-1 서울대학교 ,"서울특별시 관악구 관악로 1, 서울대학교 32-1동 1층 (신림동)"
그녀의 커피잔,2010-06-07,폐업,2015-02-03,커피숍,서울특별시 관악구 신림동 1526-2 ,"서울특별시 관악구 호암로 599, 1층 (신림동)"
커피콩나무,2014-08-20,영업,,커피숍,서울특별시 관악구 신림동 305 ,"서울특별시 관악구 호암로 534, 1층 (신림동)"
할리스커피 신림고시촌점,2014-09-18,영업,,커피숍,서울특별시 관악구 신림동 1513-2 ,"서울특별시 관악구 호암로 605, 지하1~2층 (신림동)"
행복나무,2016-09-29,영업,,커피숍,서울특별시 관악구 신림동 1513 ,"서울특별시 관악구 신림로 143, 1층 (신림동)"
cafe밤골다미재,2016-11-22,폐업,2016-12-12,커피숍,서울특별시 관악구 신림동 320-25 ,"서울특별시 관악구 밤골길 3, 1층 (신림동)"
미니스톱 신림주공점,2018-01-15,폐업,2018-10-23,커피숍,서울특별시 관악구 신림동 1704-2 신림1단지주공아파트 ,"서울특별시 관악구 광신길 210, 신림1단지주공아파트 1층 (신림동)"
오마이프렌즈(OhMyFriends),2009-05-20,폐업,2021-02-26,커피숍,서울특별시 관악구 신림동 103-113 ,"서울특별시 관악구 신림로12길 28, 1층 (신림동)"
가빈,2010-12-09,영업,,커피숍,서울특별시 관악구 신림동 112-42 ,서울특별시 관악구 신림로 158 (신림동)
커피이즈(coffee is..),2011-01-04,폐업,2014-07-10,커피숍,서울특별시 관악구 신림동 103-128 ,"서울특별시 관악구 신림로 80, 지상2층 (신림동)"
참콩다방,2011-06-24,폐업,2014-08-18,커피숍,서울특별시 관악구 신림동 103-107 ,서울특별시 관악구 서림길 97 (신림동)
로프트카페,2011-09-22,영업,,커피숍,서울특별시 관악구 신림동 103-200 ,서울특별시 관악구 서림길 125 (신림동)
리틀그린커반,2013-02-08,폐업,2017-11-07,커피숍,서울특별시 관악구 신림동 404-1 ,"서울특별시 관악구 신림로 169, 4층 401호 (신림동, 영창빌딩)"
커피드림,2014-01-14,폐업,2016-04-07,커피숍,서울특별시 관악구 신림동 110-30 ,"서울특별시 관악구 신림로26길 13, 1층 (신림동)"
카페마실,2014-03-12,영업,,커피숍,서울특별시 관악구 신림동 96-52 ,"서울특별시 관악구 서림1길 5, 1층 (신림동)"
java in coffee(자바인커피),2014-03-25,폐업,2018-08-08,커피숍,서울특별시 관악구 신림동 110-10 ,"서울특별시 관악구 신림로 144, 1층 (신림동)"
coffee 122-6(커피 이야기),2014-06-05,폐업,2016-06-08,커피숍,서울특별시 관악구 신림동 122-6 ,"서울특별시 관악구 신림로14길 23, 1층 (신림동)"
차곡차곡,2014-07-30,폐업,2018-01-22,커피숍,서울특별시 관악구 신림동 103-267 ,"서울특별시 관악구 서림3길 9, 1층 (신림동)"
나비,2015-01-30,폐업,2015-06-04,커피숍,서울특별시 관악구 신림동 102-95 ,"서울특별시 관악구 복은6길 49, 지하1층 (신림동)"
bread see(브레드씨),2015-03-03,영업,,커피숍,서울특별시 관악구 신림동 112-41 ,"서울특별시 관악구 신림로 160, 2층 (신림동)"
공부카페다행,2015-04-27,영업,,커피숍,서울특별시 관악구 신림동 408-38 ,"서울특별시 관악구 신림로29길 4-35, 지하1층 (신림동)"
모닝모닝(morning morning),2015-09-08,폐업,2020-09-01,커피숍,서울특별시 관악구 신림동 94-262 ,"서울특별시 관악구 신림로 212, 1층 (신림동)"
메가커피 신림프라임법학원점,2016-04-07,영업,,커피숍,서울특별시 관악구 신림동 131-21 ,"서울특별시 관악구 신림로 90, 1층 (신림동)"
썬다방,2016-09-28,영업,,커피숍,서울특별시 관악구 신림동 107-123 ,"서울특별시 관악구 신림로 198, 1층 (신림동)"
47st Cafe#(47번가카페샵),2017-01-20,폐업,2018-08-28,커피숍,서울특별시 관악구 신림동 107-47 ,"서울특별시 관악구 신림로 184, 1층 (신림동)"
카페뉴욕 5호점,2017-05-04,영업,,커피숍,서울특별시 관악구 신림동 122-33 ,"서울특별시 관악구 신림로14길 26, 1층 (신림동)"
미스터홍(Mr. hong),2017-07-11,폐업,2018-09-21,커피숍,서울특별시 관악구 신림동 100-14 ,"서울특별시 관악구 복은길 46, 1층 (신림동)"
피그말리온,2017-08-28,폐업,2019-04-12,커피숍,서울특별시 관악구 신림동 123-2 ,"서울특별시 관악구 신림로12길 23, 1층 (신림동)"
별하,2018-01-24,폐업,2018-03-19,커피숍,서울특별시 관악구 신림동 103-267 ,"서울특별시 관악구 서림3길 9, 1층 (신림동)"
47번가 카페#,2018-09-03,영업,,커피숍,서울특별시 관악구 신림동 107-47 ,"서울특별시 관악구 신림로 184, 1층 (신림동)"
0929카페,2018-10-01,영업,,커피숍,서울특별시 관악구 신림동 107-81 ,"서울특별시 관악구 신림로30길 28, 1층 1호 (신림동)"
카페7(cafe7),2018-11-30,영업,,커피숍,서울특별시 관악구 신림동 94-257 ,"서울특별시 관악구 신림로 216-1, 1층 (신림동)"
피그말리온,2019-04-12,영업,,커피숍,서울특별시 관악구 신림동 123-2 ,"서울특별시 관악구 신림로12길 23, 1층 (신림동)"
커피노동자,2019-06-17,영업,,커피숍,서울특별시 관악구 신림동 103-273 ,"서울특별시 관악구 서림길 107, 지하1층 (신림동)"
저스트로맨틱(JUST ROMANTIC),2019-06-18,영업,,커피숍,서울특별시 관악구 신림동 116-23 ,"서울특별시 관악구 신림로 134, 1층 (신림동)"
히포커피 대학동점,2019-07-29,영업,,커피숍,서울특별시 관악구 신림동 127-72 ,"서울특별시 관악구 신림로12길 25, 지하1층 (신림동)"
커피정류장,2019-11-20,영업,,커피숍,서울특별시 관악구 신림동 100-14 ,"서울특별시 관악구 복은길 46, 1층 (신림동)"
카페펠릭스(Felix),2020-05-11,영업,,커피숍,서울특별시 관악구 신림동 96-108 ,"서울특별시 관악구 서림길 23, 1층 (신림동)"
카페천국 신림점,2020-07-07,영업,,커피숍,서울특별시 관악구 신림동 103-267 ,"서울특별시 관악구 서림3길 9, 1층 101호 (신림동)"
서림동커피집,2020-09-16,영업,,커피숍,서울특별시 관악구 신림동 106-6 ,"서울특별시 관악구 신림로32길 12, 1층 (신림동)"
카페토리,2020-12-11,영업,,커피숍,서울특별시 관악구 신림동 99-3 ,"서울특별시 관악구 복은길 53, 1층 103호 (신림동)"
이디야커피 신림신화교점,2020-12-18,영업,,커피숍,서울특별시 관악구 신림동 408-40 ,"서울특별시 관악구 신림로 199, 1층 (신림동)"
